,Index,LMNIDS03
472,2005-11-11,795
473,2005-11-14,713
474,2005-11-15,838
475,2005-11-16,1189
476,2005-11-17,1120
477,2005-11-18,2749
478,2005-11-21,887
479,2005-11-22,1303
480,2005-11-23,724
481,2005-11-25,463
482,2005-11-28,511
483,2005-11-29,1351
484,2005-11-30,840
485,2005-12-01,718
486,2005-12-02,1377
487,2005-12-05,818
488,2005-12-06,780
489,2005-12-07,3153
490,2005-12-08,1438
491,2005-12-09,744
492,2005-12-12,621
493,2005-12-13,1187
494,2005-12-14,837
495,2005-12-15,777
496,2005-12-16,476
497,2005-12-19,798
498,2005-12-20,491
499,2005-12-21,286
500,2005-12-22,425
501,2005-12-27,489
502,2005-12-28,677
503,2005-12-29,1360
504,2005-12-30,1031
505,2006-01-03,1098
506,2006-01-04,943
507,2006-01-05,1122
508,2006-01-06,2075
509,2006-01-09,1403
510,2006-01-10,1860
511,2006-01-11,1375
512,2006-01-12,370
513,2006-01-13,910
514,2006-01-17,1109
515,2006-01-18,1177
516,2006-01-19,835
517,2006-01-20,624
518,2006-01-23,983
519,2006-01-25,1704
520,2006-01-26,2086
521,2006-01-27,812
522,2006-01-30,904
523,2006-01-31,1361
524,2006-02-01,973
525,2006-02-02,524
526,2006-02-03,511
527,2006-02-06,1666
528,2006-02-07,820
529,2006-02-08,2734
530,2006-02-09,1334
531,2006-02-10,1321
532,2006-02-13,1250
533,2006-02-14,1308
534,2006-02-15,2782
535,2006-02-16,695
536,2006-02-17,435
537,2006-02-21,730
538,2006-02-22,1006
539,2006-02-23,638
540,2006-02-24,665
541,2006-02-27,1399
542,2006-02-28,591
543,2006-03-01,2141
544,2006-03-02,968
545,2006-03-03,996
546,2006-03-06,1491
547,2006-03-07,3406
548,2006-03-08,954
549,2006-03-09,1009
550,2006-03-10,823
551,2006-03-13,554
552,2006-03-14,405
553,2006-03-15,552
554,2006-03-16,831
555,2006-03-17,692
556,2006-03-20,857
557,2006-03-21,652
558,2006-03-22,2821
559,2006-03-23,1581
560,2006-03-24,599
561,2006-03-27,875
562,2006-03-28,573
563,2006-03-29,2019
564,2006-03-30,1300
565,2006-03-31,2822
566,2006-04-03,1954
567,2006-04-04,3033
568,2006-04-05,2024
569,2006-04-06,1527
570,2006-04-07,1728
571,2006-04-10,1544
572,2006-04-11,1206
573,2006-04-12,987
574,2006-04-17,1252
575,2006-04-20,2111
576,2006-05-18,421
577,2006-05-25,373
578,2006-06-01,812
579,2006-06-08,518
580,2006-06-09,1232
581,2006-06-12,1006
582,2006-06-13,1955
583,2006-06-14,1644
584,2006-06-15,1004
585,2006-06-16,1010
586,2006-06-19,358
587,2006-06-20,527
588,2006-06-21,973
589,2006-06-22,450
590,2006-06-23,542
591,2006-06-26,502
592,2006-06-27,526
593,2006-06-28,743
594,2006-06-29,400
595,2006-07-06,595
596,2006-07-13,384
597,2006-07-17,2383
598,2006-07-20,238
599,2006-07-27,237
600,2006-08-03,405
601,2006-08-10,317
602,2006-08-14,236
603,2006-08-17,158
604,2006-08-23,233
605,2006-08-24,385
606,2006-08-30,521
607,2006-09-19,2665
608,2006-09-25,402
609,2006-09-26,426
610,2006-10-02,77
611,2006-10-05,152
612,2006-10-09,117
613,2006-10-12,510
614,2006-10-16,7056
615,2006-10-19,198
616,2006-10-23,4
617,2006-10-26,247
618,2006-11-02,467
619,2006-11-09,198
620,2006-11-16,168
621,2006-11-20,1468
622,2006-11-23,325
623,2006-11-28,323
624,2006-11-29,437
625,2006-11-30,585
626,2006-12-01,408
627,2006-12-04,267
628,2006-12-05,463
629,2006-12-06,352
630,2006-12-07,311
631,2006-12-08,438
632,2006-12-11,307
633,2006-12-12,879
634,2006-12-13,291
635,2006-12-14,489
636,2006-12-15,311
637,2006-12-18,355
638,2006-12-19,684
639,2006-12-20,301
640,2006-12-21,7705
641,2006-12-22,271
642,2006-12-27,221
643,2006-12-28,143
644,2006-12-29,263
645,2007-01-02,363
646,2007-01-03,679
647,2007-01-04,661
648,2007-01-05,573
649,2007-01-08,758
650,2007-01-09,1095
651,2007-01-10,1277
652,2007-01-11,577
653,2007-01-12,663
654,2007-01-15,229
655,2007-01-16,594
656,2007-01-17,833
657,2007-01-18,2380
658,2007-01-19,295
659,2007-01-22,333
660,2007-01-23,427
661,2007-01-24,286
662,2007-01-25,226
663,2007-01-26,277
664,2007-01-29,283
665,2007-01-30,553
666,2007-01-31,747
667,2007-02-01,320
668,2007-02-02,415
669,2007-02-05,534
670,2007-02-06,288
671,2007-02-07,363
672,2007-02-08,572
673,2007-02-09,286
674,2007-02-12,298
675,2007-02-13,169
676,2007-02-14,438
677,2007-02-15,329
678,2007-02-16,4108
679,2007-02-19,251
680,2007-02-20,514
681,2007-02-21,664
682,2007-02-22,249
683,2007-02-23,481
684,2007-02-26,271
685,2007-02-27,299
686,2007-02-28,416
687,2007-03-01,283
688,2007-03-02,327
689,2007-03-05,459
690,2007-03-06,500
691,2007-03-07,375
692,2007-03-08,345
693,2007-03-09,424
694,2007-03-12,241
695,2007-03-13,409
696,2007-03-14,355
697,2007-03-15,256
698,2007-03-16,392
699,2007-03-19,446
700,2007-03-20,2745
701,2007-03-21,506
702,2007-03-22,339
703,2007-03-23,609
704,2007-03-26,495
705,2007-03-27,294
706,2007-03-28,211
707,2007-03-29,265
708,2007-03-30,541
709,2007-04-02,284
710,2007-04-03,350
711,2007-04-04,370
712,2007-04-10,302
713,2007-04-11,242
714,2007-04-12,408
715,2007-04-13,145
716,2007-04-16,217
717,2007-04-17,232
718,2007-04-18,3957
719,2007-04-19,235
720,2007-04-20,301
721,2007-04-23,264
722,2007-04-24,336
723,2007-04-25,303
724,2007-04-26,299
725,2007-04-27,382
726,2007-04-30,329
727,2007-05-01,100
728,2007-05-02,153
729,2007-05-03,223
730,2007-05-04,755
731,2007-05-08,294
732,2007-05-09,475
733,2007-05-10,309
734,2007-05-11,236
735,2007-05-14,218
736,2007-05-15,1700
737,2007-05-16,265
738,2007-05-17,585
739,2007-05-18,549
740,2007-05-21,181
741,2007-05-22,329
742,2007-05-23,792
743,2007-05-24,417
744,2007-05-25,443
745,2007-05-29,431
746,2007-05-30,413
747,2007-05-31,591
748,2007-06-01,775
749,2007-06-04,511
750,2007-06-05,311
751,2007-06-06,223
752,2007-06-07,462
753,2007-06-08,792
754,2007-06-11,273
755,2007-06-12,686
756,2007-06-13,587
757,2007-06-14,762
758,2007-06-15,701
759,2007-06-18,417
760,2007-06-19,4612
761,2007-06-20,817
762,2007-06-21,297
763,2007-06-22,593
764,2007-06-25,388
765,2007-06-26,301
766,2007-06-27,374
767,2007-06-28,245
768,2007-06-29,675
769,2007-07-02,354
770,2007-07-03,379
771,2007-07-04,147
772,2007-07-05,265
773,2007-07-06,428
774,2007-07-09,302
775,2007-07-10,683
776,2007-07-11,321
777,2007-07-12,281
778,2007-07-13,388
779,2007-07-16,364
780,2007-07-17,1395
781,2007-07-18,472
782,2007-07-19,514
783,2007-07-20,766
784,2007-07-23,390
785,2007-07-24,344
786,2007-07-25,286
787,2007-07-26,430
788,2007-07-27,520
789,2007-07-30,305
790,2007-07-31,561
791,2007-08-01,589
792,2007-08-02,458
793,2007-08-03,637
794,2007-08-06,396
795,2007-08-07,554
796,2007-08-08,898
797,2007-08-09,1071
798,2007-08-10,1709
799,2007-08-13,634
800,2007-08-14,477
801,2007-08-15,548
802,2007-08-16,436
803,2007-08-17,662
804,2007-08-20,241
805,2007-08-21,4669
806,2007-08-22,441
807,2007-08-23,663
808,2007-08-24,814
809,2007-08-28,281
810,2007-08-29,277
811,2007-08-30,425
812,2007-08-31,993
813,2007-09-03,201
814,2007-09-04,463
815,2007-09-05,434
816,2007-09-06,333
817,2007-09-07,302
818,2007-09-10,422
819,2007-09-11,233
820,2007-09-12,514
821,2007-09-13,268
822,2007-09-14,293
823,2007-09-17,299
824,2007-09-18,692
825,2007-09-19,3489
826,2007-09-20,568
827,2007-09-21,354
828,2007-09-24,202
829,2007-09-25,341
830,2007-09-26,594
831,2007-09-27,804
832,2007-09-28,531
833,2007-10-01,399
834,2007-10-02,582
835,2007-10-03,293
836,2007-10-04,410
837,2007-10-05,619
838,2007-10-08,422
839,2007-10-09,198
840,2007-10-10,262
841,2007-10-12,821
842,2007-10-15,433
843,2007-10-16,4519
844,2007-10-17,418
845,2007-10-18,401
846,2007-10-19,746
847,2007-10-22,301
848,2007-10-23,395
849,2007-10-24,460
850,2007-10-25,400
851,2007-10-29,236
852,2007-10-30,258
853,2007-10-31,611
854,2007-11-01,505
855,2007-11-02,818
856,2007-11-05,699
857,2007-11-06,405
858,2007-11-07,383
859,2007-11-08,414
860,2007-11-09,1072
861,2007-11-12,382
862,2007-11-13,273
863,2007-11-14,456
864,2007-11-15,497
865,2007-11-16,887
866,2007-11-19,659
867,2007-11-20,1468
868,2007-11-21,460
869,2007-11-22,358
870,2007-11-23,454
871,2007-11-26,268
872,2007-11-27,324
873,2007-11-28,428
874,2007-11-29,539
875,2007-11-30,749
876,2007-12-03,465
877,2007-12-04,581
878,2007-12-05,379
879,2007-12-06,750
880,2007-12-07,438
881,2007-12-10,359
882,2007-12-11,530
883,2007-12-12,405
884,2007-12-13,185
885,2007-12-14,258
886,2007-12-17,240
887,2007-12-18,241
888,2007-12-19,6930
889,2007-12-20,197
890,2007-12-27,328
891,2007-12-28,245
892,2007-12-31,292
893,2008-01-02,431
894,2008-01-03,543
895,2008-01-04,508
896,2008-01-07,357
897,2008-01-08,613
898,2008-01-09,788
899,2008-01-10,804
900,2008-01-11,816
901,2008-01-14,584
902,2008-01-15,596
903,2008-01-16,1292
904,2008-01-17,306
905,2008-01-18,441
906,2008-01-21,445
907,2008-01-22,546
908,2008-01-23,412
909,2008-01-24,372
910,2008-01-25,327
911,2008-01-28,191
912,2008-01-29,285
913,2008-01-30,390
914,2008-01-31,540
915,2008-02-01,409
916,2008-02-04,663
917,2008-02-05,1134
918,2008-02-06,1421
919,2008-02-07,895
920,2008-02-08,821
921,2008-02-11,412
922,2008-02-12,595
923,2008-02-13,306
924,2008-02-14,358
925,2008-02-15,319
926,2008-02-18,226
927,2008-02-19,550
928,2008-02-20,506
929,2008-02-21,5509
930,2008-02-22,364
931,2008-02-25,381
932,2008-02-26,528
933,2008-02-27,969
934,2008-02-28,928
935,2008-02-29,774
936,2008-03-03,770
937,2008-03-04,758
938,2008-03-05,698
939,2008-03-06,580
940,2008-03-07,894
941,2008-03-10,569
942,2008-03-11,865
943,2008-03-12,271
944,2008-03-13,330
945,2008-03-14,433
946,2008-03-17,566
947,2008-03-18,4349
948,2008-03-19,480
949,2008-03-25,529
950,2008-03-26,382
951,2008-03-27,694
952,2008-03-28,759
953,2008-03-31,375
954,2008-04-01,503
955,2008-04-02,833
956,2008-04-03,272
957,2008-04-04,220
958,2008-04-07,358
959,2008-04-08,340
960,2008-04-09,353
961,2008-04-10,412
962,2008-04-11,227
963,2008-04-14,340
964,2008-04-15,333
965,2008-04-16,5682
966,2008-04-17,293
967,2008-04-18,248
968,2008-04-21,967
969,2008-04-22,410
970,2008-04-23,266
971,2008-04-24,471
972,2008-04-25,401
973,2008-04-28,148
974,2008-04-29,422
975,2008-04-30,443
976,2008-05-01,598
977,2008-05-02,964
978,2008-05-06,303
979,2008-05-07,237
980,2008-05-08,506
981,2008-05-09,789
982,2008-05-12,515
983,2008-05-13,366
984,2008-05-14,391
985,2008-05-15,517
986,2008-05-16,1044
987,2008-05-19,328
988,2008-05-20,2002
989,2008-05-21,605
990,2008-05-22,1155
991,2008-05-23,1522
992,2008-05-27,974
993,2008-05-28,595
994,2008-05-29,872
995,2008-05-30,1742
996,2008-06-02,567
997,2008-06-03,791
998,2008-06-04,835
999,2008-06-05,529
1000,2008-06-06,865
1001,2008-06-09,535
1002,2008-06-10,960
1003,2008-06-11,667
1004,2008-06-12,943
1005,2008-06-13,977
1006,2008-06-16,488
1007,2008-06-17,6688
1008,2008-06-18,725
1009,2008-06-19,473
1010,2008-06-20,534
1011,2008-06-23,460
1012,2008-06-24,595
1013,2008-06-25,430
1014,2008-06-26,530
1015,2008-06-27,938
1016,2008-06-30,571
1017,2008-07-01,409
1018,2008-07-02,701
1019,2008-07-03,656
1020,2008-07-04,840
1021,2008-07-07,579
1022,2008-07-08,576
1023,2008-07-09,565
1024,2008-07-10,619
1025,2008-07-11,822
1026,2008-07-14,357
1027,2008-07-15,2446
1028,2008-07-16,400
1029,2008-07-17,506
1030,2008-07-18,763
1031,2008-07-21,334
1032,2008-07-22,480
1033,2008-07-23,685
1034,2008-07-24,809
1035,2008-07-25,1161
1036,2008-07-28,506
1037,2008-07-29,630
1038,2008-07-30,516
1039,2008-07-31,517
1040,2008-08-01,778
1041,2008-08-04,455
1042,2008-08-05,746
1043,2008-08-06,560
1044,2008-08-07,741
1045,2008-08-08,889
1046,2008-08-11,502
1047,2008-08-12,729
1048,2008-08-13,996
1049,2008-08-14,624
1050,2008-08-15,917
1051,2008-08-18,393
1052,2008-08-19,7531
1053,2008-08-20,573
1054,2008-08-21,1160
1055,2008-08-22,1336
1056,2008-08-26,525
1057,2008-08-27,647
1058,2008-08-28,838
1059,2008-08-29,1272
1060,2008-09-01,378
1061,2008-09-02,490
1062,2008-09-03,319
1063,2008-09-04,676
1064,2008-09-05,818
1065,2008-09-08,226
1066,2008-09-09,360
1067,2008-09-10,422
1068,2008-09-11,575
1069,2008-09-12,532
1070,2008-09-15,747
1071,2008-09-16,990
1072,2008-09-17,5652
1073,2008-09-18,1019
1074,2008-09-19,432
1075,2008-09-22,620
1076,2008-09-23,570
1077,2008-09-24,584
1078,2008-09-25,928
1079,2008-09-26,537
1080,2008-09-29,913
1081,2008-09-30,607
1082,2008-10-01,278
1083,2008-10-02,530
1084,2008-10-03,632
1085,2008-10-06,636
1086,2008-10-07,769
1087,2008-10-08,952
1088,2008-10-09,683
1089,2008-10-10,1795
1090,2008-10-13,671
1091,2008-10-14,621
1092,2008-10-15,727
1093,2008-10-16,539
1094,2008-10-17,807
1095,2008-10-20,576
1096,2008-10-21,7395
1097,2008-10-22,684
1098,2008-10-23,636
1099,2008-10-24,1646
1100,2008-10-27,825
1101,2008-10-28,1209
1102,2008-10-29,1079
1103,2008-10-30,657
1104,2008-10-31,1007
1105,2008-11-03,701
1106,2008-11-04,551
1107,2008-11-05,399
1108,2008-11-06,406
1109,2008-11-07,788
1110,2008-11-10,444
1111,2008-11-11,332
1112,2008-11-12,385
1113,2008-11-13,402
1114,2008-11-14,612
1115,2008-11-17,407
1116,2008-11-18,2943
1117,2008-11-19,524
1118,2008-11-20,530
1119,2008-11-21,656
1120,2008-11-24,355
1121,2008-11-25,361
1122,2008-11-26,450
1123,2008-11-27,225
1124,2008-11-28,553
1125,2008-12-01,444
1126,2008-12-02,707
1127,2008-12-03,664
1128,2008-12-04,570
1129,2008-12-05,685
1130,2008-12-08,427
1131,2008-12-09,562
1132,2008-12-10,1005
1133,2008-12-11,930
1134,2008-12-12,705
1135,2008-12-15,344
1136,2008-12-16,844
1137,2008-12-17,600
1138,2008-12-18,6837
1139,2008-12-19,745
1140,2008-12-22,348
1141,2008-12-23,590
1142,2008-12-24,159
1143,2008-12-29,250
1144,2008-12-30,544
1145,2008-12-31,665
1146,2009-01-02,1657
1147,2009-01-05,946
1148,2009-01-06,2153
1149,2009-01-07,928
1150,2009-01-08,1057
1151,2009-01-09,935
1152,2009-01-12,1865
1153,2009-01-13,2270
1154,2009-01-14,2356
1155,2009-01-15,2986
1156,2009-01-16,591
1157,2009-01-19,445
1158,2009-01-20,1007
1159,2009-01-21,498
1160,2009-01-22,473
1161,2009-01-23,918
1162,2009-01-26,517
1163,2009-01-27,710
1164,2009-01-28,584
1165,2009-01-29,648
1166,2009-01-30,884
1167,2009-02-02,313
1168,2009-02-03,391
1169,2009-02-04,651
1170,2009-02-05,870
1171,2009-02-06,387
1172,2009-02-09,426
1173,2009-02-10,546
1174,2009-02-11,908
1175,2009-02-13,371
1176,2009-02-16,440
1177,2009-02-17,550
1178,2009-02-18,1080
1179,2009-02-19,624
1180,2009-02-20,6104
1181,2009-02-23,270
1182,2009-02-24,520
1183,2009-02-25,831
1184,2009-02-26,1010
1185,2009-02-27,533
1186,2009-03-02,311
1187,2009-03-03,393
1188,2009-03-04,471
1189,2009-03-05,477
1190,2009-03-06,716
1191,2009-03-09,275
1192,2009-03-10,639
1193,2009-03-11,289
1194,2009-03-12,506
1195,2009-03-13,802
1196,2009-03-16,758
1197,2009-03-17,4624
1198,2009-03-18,426
1199,2009-03-19,507
1200,2009-03-20,832
1201,2009-03-23,300
1202,2009-03-24,457
1203,2009-03-25,523
1204,2009-03-26,515
1205,2009-03-27,581
1206,2009-03-30,288
1207,2009-03-31,1038
1208,2009-04-01,663
1209,2009-04-02,1372
1210,2009-04-03,945
1211,2009-04-06,920
1212,2009-04-07,1031
1213,2009-04-08,523
1214,2009-04-09,719
1215,2009-04-14,1097
1216,2009-04-15,8698
1217,2009-04-16,655
1218,2009-04-17,701
1219,2009-04-20,697
1220,2009-04-21,632
1221,2009-04-22,504
1222,2009-04-23,401
1223,2009-04-24,385
1224,2009-04-27,349
1225,2009-04-28,774
1226,2009-04-29,809
1227,2009-04-30,814
1228,2009-05-01,810
1229,2009-05-05,1070
1230,2009-05-06,1200
1231,2009-05-07,993
1232,2009-05-08,1384
