,Index,LMSNDS03
265,2005-01-14,82
266,2005-01-18,160
267,2005-01-19,64
268,2005-01-20,27
269,2005-01-21,183
270,2005-01-24,24
271,2005-01-25,79
272,2005-01-26,75
273,2005-01-27,55
274,2005-01-28,25
275,2005-01-31,26
276,2005-02-01,21
277,2005-02-02,17
278,2005-02-03,79
279,2005-02-04,10
280,2005-02-07,5
281,2005-02-08,4
282,2005-02-09,23
283,2005-02-10,37
284,2005-02-11,50
285,2005-02-14,39
286,2005-02-15,40
287,2005-02-16,40
288,2005-02-17,127
289,2005-02-18,51
290,2005-02-22,93
291,2005-02-23,287
292,2005-02-24,3
293,2005-02-25,58
294,2005-02-28,80
295,2005-03-01,54
296,2005-03-02,87
297,2005-03-03,47
298,2005-03-04,21
299,2005-03-07,67
300,2005-03-08,68
301,2005-03-09,58
302,2005-03-10,113
303,2005-03-11,45
304,2005-03-14,30
305,2005-03-15,100
306,2005-03-16,13
307,2005-03-17,64
308,2005-03-18,19
309,2005-03-21,249
310,2005-03-22,57
311,2005-03-23,154
312,2005-03-28,40
313,2005-03-29,217
314,2005-03-30,52
315,2005-03-31,68
316,2005-04-01,100
317,2005-04-04,23
318,2005-04-05,12
319,2005-04-07,44
320,2005-04-08,38
321,2005-04-11,45
322,2005-04-12,71
323,2005-04-13,106
324,2005-04-14,21
325,2005-04-15,9
326,2005-04-18,86
327,2005-04-19,16
328,2005-04-20,33
329,2005-04-21,37
330,2005-04-22,35
331,2005-04-25,65
332,2005-04-26,48
333,2005-04-27,129
334,2005-04-28,125
335,2005-05-02,198
336,2005-05-03,90
337,2005-05-04,65
338,2005-05-05,200
339,2005-05-06,181
340,2005-05-09,291
341,2005-05-10,144
342,2005-05-11,183
343,2005-05-12,456
344,2005-05-13,222
345,2005-05-16,199
346,2005-05-17,109
347,2005-05-18,153
348,2005-05-19,102
349,2005-05-20,112
350,2005-05-23,291
351,2005-05-24,117
352,2005-05-25,85
353,2005-05-26,137
354,2005-05-27,308
355,2005-05-31,804
356,2005-06-01,254
357,2005-06-02,332
358,2005-06-03,296
359,2005-06-06,85
360,2005-06-07,335
361,2005-06-08,264
362,2005-06-09,188
363,2005-06-10,137
364,2005-06-13,129
365,2005-06-14,210
366,2005-06-15,148
367,2005-06-16,166
368,2005-06-17,296
369,2005-06-20,234
370,2005-06-21,295
371,2005-06-22,365
372,2005-06-23,321
373,2005-06-24,185
374,2005-06-27,236
375,2005-06-28,49
376,2005-06-29,98
377,2005-06-30,42
378,2005-07-01,196
379,2005-07-05,163
380,2005-07-06,105
381,2005-07-07,259
382,2005-07-08,90
383,2005-07-11,255
384,2005-07-12,669
385,2005-07-13,1155
386,2005-07-14,1139
387,2005-07-15,263
388,2005-07-18,349
389,2005-07-19,85
390,2005-07-20,78
391,2005-07-21,62
392,2005-07-22,118
393,2005-07-25,148
394,2005-07-26,486
395,2005-07-27,289
396,2005-07-28,536
397,2005-07-29,218
398,2005-08-01,517
399,2005-08-02,346
400,2005-08-03,177
401,2005-08-04,88
402,2005-08-05,122
403,2005-08-08,833
404,2005-08-09,213
405,2005-08-10,615
406,2005-08-11,781
407,2005-08-12,446
408,2005-08-15,369
409,2005-08-16,489
410,2005-08-17,438
411,2005-08-18,386
412,2005-08-19,566
413,2005-08-22,377
414,2005-08-23,318
415,2005-08-24,217
416,2005-08-25,183
417,2005-08-29,206
418,2005-08-30,171
419,2005-08-31,316
420,2005-09-01,68
421,2005-09-02,97
422,2005-09-06,117
423,2005-09-07,220
424,2005-09-08,433
425,2005-09-09,246
426,2005-09-12,422
427,2005-09-13,154
428,2005-09-14,343
429,2005-09-15,360
430,2005-09-16,177
431,2005-09-19,293
432,2005-09-20,241
433,2005-09-21,307
434,2005-09-22,1426
435,2005-09-23,219
436,2005-09-26,206
437,2005-09-27,195
438,2005-09-28,309
439,2005-09-29,85
440,2005-09-30,101
441,2005-10-03,94
442,2005-10-04,125
443,2005-10-05,224
444,2005-10-06,248
445,2005-10-07,156
446,2005-10-10,243
447,2005-10-11,53
448,2005-10-12,219
449,2005-10-13,182
450,2005-10-14,354
451,2005-10-17,285
452,2005-10-18,476
453,2005-10-19,297
454,2005-10-20,183
455,2005-10-21,184
456,2005-10-24,266
457,2005-10-25,135
458,2005-10-26,179
459,2005-10-27,259
460,2005-10-28,315
461,2005-10-31,484
462,2005-11-01,136
463,2005-11-02,367
464,2005-11-03,222
465,2005-11-04,254
466,2005-11-07,80
467,2005-11-08,240
468,2005-11-09,154
469,2005-11-10,68
470,2005-11-11,309
471,2005-11-14,326
472,2005-11-15,160
473,2005-11-16,74
474,2005-11-17,437
475,2005-11-18,224
476,2005-11-21,166
477,2005-11-22,397
478,2005-11-23,160
479,2005-11-25,330
480,2005-11-28,161
481,2005-11-29,290
482,2005-11-30,1393
483,2005-12-01,984
484,2005-12-02,1457
485,2005-12-05,440
486,2005-12-06,284
487,2005-12-07,546
488,2005-12-08,362
489,2005-12-09,637
490,2005-12-12,301
491,2005-12-13,369
492,2005-12-14,198
493,2005-12-15,111
494,2005-12-16,222
495,2005-12-19,277
496,2005-12-20,188
497,2005-12-21,198
498,2005-12-22,72
499,2005-12-27,169
500,2005-12-28,184
501,2005-12-29,73
502,2005-12-30,239
503,2006-01-03,258
504,2006-01-04,148
505,2006-01-05,292
506,2006-01-06,313
507,2006-01-09,293
508,2006-01-10,121
509,2006-01-11,128
510,2006-01-12,723
511,2006-01-13,212
512,2006-01-17,325
513,2006-01-18,111
514,2006-01-19,133
515,2006-01-20,589
516,2006-01-23,492
517,2006-01-24,595
518,2006-01-25,307
519,2006-01-26,893
520,2006-01-27,142
521,2006-01-30,736
522,2006-01-31,448
523,2006-02-01,381
524,2006-02-02,300
525,2006-02-03,419
526,2006-02-06,507
527,2006-02-07,294
528,2006-02-08,351
529,2006-02-09,111
530,2006-02-10,193
531,2006-02-13,153
532,2006-02-14,291
533,2006-02-15,530
534,2006-02-16,427
535,2006-02-17,675
536,2006-02-21,149
537,2006-02-22,139
538,2006-02-23,141
539,2006-02-24,289
540,2006-02-27,159
541,2006-02-28,236
542,2006-03-01,661
543,2006-03-02,458
544,2006-03-03,237
545,2006-03-06,295
546,2006-03-07,436
547,2006-03-08,112
548,2006-03-09,228
549,2006-03-10,191
550,2006-03-13,119
551,2006-03-14,259
552,2006-03-15,224
553,2006-03-16,414
554,2006-03-17,298
555,2006-03-20,158
556,2006-03-21,198
557,2006-03-22,570
558,2006-03-23,658
559,2006-03-24,209
560,2006-03-27,195
561,2006-03-28,289
562,2006-03-29,167
563,2006-03-30,243
564,2006-03-31,433
565,2006-04-03,194
566,2006-04-04,293
567,2006-04-05,145
568,2006-04-06,284
569,2006-04-07,277
570,2006-04-10,411
571,2006-04-11,237
572,2006-04-12,478
573,2006-04-17,411
574,2006-04-20,501
575,2006-05-18,298
576,2006-05-25,119
577,2006-06-01,232
578,2006-06-08,114
579,2006-06-09,168
580,2006-06-12,117
581,2006-06-13,211
582,2006-06-14,100
583,2006-06-15,123
584,2006-06-16,151
585,2006-06-19,52
586,2006-06-20,162
587,2006-06-21,103
588,2006-06-22,62
589,2006-06-23,128
590,2006-06-26,211
591,2006-06-27,144
592,2006-06-28,120
593,2006-06-29,97
594,2006-07-06,143
595,2006-07-13,130
596,2006-07-17,1248
597,2006-07-20,175
598,2006-07-27,109
599,2006-07-31,4
600,2006-08-03,109
601,2006-08-07,2
602,2006-08-10,110
603,2006-08-14,169
604,2006-08-17,106
605,2006-08-23,182
606,2006-08-24,210
607,2006-08-30,351
608,2006-09-05,1
609,2006-09-19,2548
610,2006-09-25,149
611,2006-09-26,382
612,2006-10-05,337
613,2006-10-12,256
614,2006-10-16,1650
615,2006-10-19,163
616,2006-10-26,90
617,2006-11-02,186
618,2006-11-09,133
619,2006-11-16,134
620,2006-11-20,725
621,2006-11-23,110
622,2006-11-28,390
623,2006-11-29,574
624,2006-11-30,719
625,2006-12-01,218
626,2006-12-04,137
627,2006-12-05,229
628,2006-12-06,204
629,2006-12-07,139
630,2006-12-08,237
631,2006-12-11,178
632,2006-12-12,244
633,2006-12-13,140
634,2006-12-14,148
635,2006-12-15,129
636,2006-12-18,80
637,2006-12-19,138
638,2006-12-20,211
639,2006-12-21,1811
640,2006-12-22,109
641,2006-12-27,156
642,2006-12-28,154
643,2006-12-29,149
644,2007-01-02,138
645,2007-01-03,239
646,2007-01-04,221
647,2007-01-05,192
648,2007-01-08,244
649,2007-01-09,373
650,2007-01-10,420
651,2007-01-11,131
652,2007-01-12,127
653,2007-01-15,81
654,2007-01-16,479
655,2007-01-17,213
656,2007-01-18,1233
657,2007-01-19,250
658,2007-01-22,242
659,2007-01-23,452
660,2007-01-24,152
661,2007-01-25,70
662,2007-01-26,103
663,2007-01-29,153
664,2007-01-30,193
665,2007-01-31,291
666,2007-02-01,324
667,2007-02-02,152
668,2007-02-05,312
669,2007-02-06,165
670,2007-02-07,224
671,2007-02-08,325
672,2007-02-09,216
673,2007-02-12,202
674,2007-02-13,139
675,2007-02-14,221
676,2007-02-15,493
677,2007-02-16,1027
678,2007-02-19,95
679,2007-02-20,199
680,2007-02-21,267
681,2007-02-22,220
682,2007-02-23,240
683,2007-02-26,121
684,2007-02-27,235
685,2007-02-28,286
686,2007-03-01,146
687,2007-03-02,222
688,2007-03-05,139
689,2007-03-06,134
690,2007-03-07,132
691,2007-03-08,299
692,2007-03-09,256
693,2007-03-12,59
694,2007-03-13,106
695,2007-03-14,238
696,2007-03-15,193
697,2007-03-16,280
698,2007-03-19,263
699,2007-03-20,1427
700,2007-03-21,120
701,2007-03-22,144
702,2007-03-23,317
703,2007-03-26,89
704,2007-03-27,88
705,2007-03-28,339
706,2007-03-29,353
707,2007-03-30,363
708,2007-04-02,136
709,2007-04-03,135
710,2007-04-04,175
711,2007-04-10,126
712,2007-04-11,161
713,2007-04-12,174
714,2007-04-13,113
715,2007-04-16,121
716,2007-04-17,233
717,2007-04-18,1539
718,2007-04-19,186
719,2007-04-20,92
720,2007-04-23,83
721,2007-04-24,139
722,2007-04-25,65
723,2007-04-26,279
724,2007-04-27,339
725,2007-04-30,140
726,2007-05-01,243
727,2007-05-02,224
728,2007-05-03,92
729,2007-05-04,176
730,2007-05-08,236
731,2007-05-09,216
732,2007-05-10,138
733,2007-05-11,194
734,2007-05-14,141
735,2007-05-15,988
736,2007-05-16,93
737,2007-05-17,145
738,2007-05-18,166
739,2007-05-21,130
740,2007-05-22,89
741,2007-05-23,207
742,2007-05-24,43
743,2007-05-25,129
744,2007-05-29,64
745,2007-05-30,121
746,2007-05-31,178
747,2007-06-01,303
748,2007-06-04,72
749,2007-06-05,159
750,2007-06-06,112
751,2007-06-07,165
752,2007-06-08,228
753,2007-06-11,173
754,2007-06-12,172
755,2007-06-13,185
756,2007-06-14,223
757,2007-06-15,381
758,2007-06-18,371
759,2007-06-19,1873
760,2007-06-20,181
761,2007-06-21,64
762,2007-06-22,137
763,2007-06-25,205
764,2007-06-26,194
765,2007-06-27,184
766,2007-06-28,135
767,2007-06-29,276
768,2007-07-02,82
769,2007-07-03,96
770,2007-07-04,295
771,2007-07-05,118
772,2007-07-06,303
773,2007-07-09,179
774,2007-07-10,134
775,2007-07-11,110
776,2007-07-12,171
777,2007-07-13,242
778,2007-07-16,84
779,2007-07-17,1089
780,2007-07-18,345
781,2007-07-19,283
782,2007-07-20,482
783,2007-07-23,203
784,2007-07-24,117
785,2007-07-25,213
786,2007-07-26,203
787,2007-07-27,254
788,2007-07-30,313
789,2007-07-31,170
790,2007-08-01,258
791,2007-08-02,184
792,2007-08-03,344
793,2007-08-06,148
794,2007-08-07,310
795,2007-08-08,137
796,2007-08-09,186
797,2007-08-10,323
798,2007-08-13,142
799,2007-08-14,583
800,2007-08-15,285
801,2007-08-16,238
802,2007-08-17,429
803,2007-08-20,128
804,2007-08-21,1034
805,2007-08-22,190
806,2007-08-23,182
807,2007-08-24,252
808,2007-08-28,101
809,2007-08-29,133
810,2007-08-30,165
811,2007-08-31,180
812,2007-09-03,91
813,2007-09-04,202
814,2007-09-05,143
815,2007-09-06,187
816,2007-09-07,210
817,2007-09-10,76
818,2007-09-11,147
819,2007-09-12,233
820,2007-09-13,101
821,2007-09-14,108
822,2007-09-17,99
823,2007-09-18,164
824,2007-09-19,1329
825,2007-09-20,99
826,2007-09-21,78
827,2007-09-24,132
828,2007-09-25,182
829,2007-09-26,210
830,2007-09-27,360
831,2007-09-28,87
832,2007-10-01,94
833,2007-10-02,226
834,2007-10-03,315
835,2007-10-04,113
836,2007-10-05,158
837,2007-10-08,149
838,2007-10-09,76
839,2007-10-10,106
840,2007-10-12,340
841,2007-10-15,236
842,2007-10-16,1308
843,2007-10-17,104
844,2007-10-18,222
845,2007-10-19,299
846,2007-10-22,107
847,2007-10-23,91
848,2007-10-24,169
849,2007-10-25,102
850,2007-10-29,169
851,2007-10-30,166
852,2007-10-31,169
853,2007-11-01,116
854,2007-11-02,212
855,2007-11-05,123
856,2007-11-06,206
857,2007-11-07,221
858,2007-11-08,151
859,2007-11-09,183
860,2007-11-12,149
861,2007-11-13,140
862,2007-11-14,224
863,2007-11-15,68
864,2007-11-16,206
865,2007-11-19,123
866,2007-11-20,949
867,2007-11-21,299
868,2007-11-22,219
869,2007-11-23,403
870,2007-11-26,84
871,2007-11-27,165
872,2007-11-28,55
873,2007-11-29,120
874,2007-11-30,210
875,2007-12-03,101
876,2007-12-04,304
877,2007-12-05,232
878,2007-12-06,148
879,2007-12-07,109
880,2007-12-10,73
881,2007-12-11,74
882,2007-12-12,180
883,2007-12-13,345
884,2007-12-14,275
885,2007-12-17,263
886,2007-12-18,181
887,2007-12-19,1425
888,2007-12-20,208
889,2007-12-27,174
890,2007-12-28,195
891,2007-12-31,152
892,2008-01-02,809
893,2008-01-03,263
894,2008-01-04,144
895,2008-01-07,207
896,2008-01-08,113
897,2008-01-09,199
898,2008-01-10,143
899,2008-01-11,106
900,2008-01-14,200
901,2008-01-15,137
902,2008-01-16,1303
903,2008-01-17,125
904,2008-01-18,82
905,2008-01-21,169
906,2008-01-22,166
907,2008-01-23,134
908,2008-01-24,183
909,2008-01-25,132
910,2008-01-28,105
911,2008-01-29,387
912,2008-01-30,177
913,2008-01-31,464
914,2008-02-01,272
915,2008-02-04,194
916,2008-02-05,214
917,2008-02-06,363
918,2008-02-07,326
919,2008-02-08,314
920,2008-02-11,137
921,2008-02-12,284
922,2008-02-13,163
923,2008-02-14,139
924,2008-02-15,133
925,2008-02-18,76
926,2008-02-19,156
927,2008-02-20,189
928,2008-02-21,1223
929,2008-02-22,203
930,2008-02-25,395
931,2008-02-26,760
932,2008-02-27,1040
933,2008-02-28,506
934,2008-02-29,238
935,2008-03-03,146
936,2008-03-04,302
937,2008-03-05,270
938,2008-03-06,203
939,2008-03-07,313
940,2008-03-10,290
941,2008-03-11,452
942,2008-03-12,402
943,2008-03-13,481
944,2008-03-14,778
945,2008-03-17,403
946,2008-03-18,1281
947,2008-03-19,217
948,2008-03-25,132
949,2008-03-26,193
950,2008-03-27,247
951,2008-03-28,356
952,2008-03-31,92
953,2008-04-01,224
954,2008-04-02,187
955,2008-04-03,148
956,2008-04-04,126
957,2008-04-07,303
958,2008-04-08,96
959,2008-04-09,197
960,2008-04-10,254
961,2008-04-11,154
962,2008-04-14,234
963,2008-04-15,180
964,2008-04-16,1268
965,2008-04-17,354
966,2008-04-18,219
967,2008-04-21,323
968,2008-04-22,276
969,2008-04-23,618
970,2008-04-24,482
971,2008-04-25,119
972,2008-04-28,106
973,2008-04-29,142
974,2008-04-30,164
975,2008-05-01,188
976,2008-05-02,306
977,2008-05-06,238
978,2008-05-07,167
979,2008-05-08,182
980,2008-05-09,309
981,2008-05-12,211
982,2008-05-13,138
983,2008-05-14,112
984,2008-05-15,255
985,2008-05-16,371
986,2008-05-19,232
987,2008-05-20,933
988,2008-05-21,259
989,2008-05-22,201
990,2008-05-23,308
991,2008-05-27,82
992,2008-05-28,243
993,2008-05-29,760
994,2008-05-30,883
995,2008-06-02,202
996,2008-06-03,267
997,2008-06-04,102
998,2008-06-05,332
999,2008-06-06,366
1000,2008-06-09,71
1001,2008-06-10,202
1002,2008-06-11,126
1003,2008-06-12,136
1004,2008-06-13,160
1005,2008-06-16,169
1006,2008-06-17,1094
1007,2008-06-18,168
1008,2008-06-19,59
1009,2008-06-20,245
1010,2008-06-23,108
1011,2008-06-24,168
1012,2008-06-25,89
1013,2008-06-26,91
1014,2008-06-27,169
1015,2008-06-30,82
1016,2008-07-01,158
1017,2008-07-02,199
1018,2008-07-03,152
1019,2008-07-04,280
1020,2008-07-07,122
1021,2008-07-08,177
1022,2008-07-09,114
1023,2008-07-10,182
1024,2008-07-11,329
1025,2008-07-14,104
1026,2008-07-15,611
1027,2008-07-16,208
1028,2008-07-17,113
1029,2008-07-18,147
1030,2008-07-21,98
1031,2008-07-22,86
1032,2008-07-23,128
1033,2008-07-24,236
1034,2008-07-25,340
1035,2008-07-28,132
1036,2008-07-29,117
1037,2008-07-30,85
1038,2008-07-31,108
1039,2008-08-01,290
1040,2008-08-04,245
1041,2008-08-05,337
1042,2008-08-06,146
1043,2008-08-07,116
1044,2008-08-08,248
1045,2008-08-11,165
1046,2008-08-12,365
1047,2008-08-13,198
1048,2008-08-14,271
1049,2008-08-15,396
1050,2008-08-18,170
1051,2008-08-19,815
1052,2008-08-20,140
1053,2008-08-21,207
1054,2008-08-22,282
1055,2008-08-26,158
1056,2008-08-27,244
1057,2008-08-28,317
1058,2008-08-29,355
1059,2008-09-01,380
1060,2008-09-02,104
1061,2008-09-03,65
1062,2008-09-04,168
1063,2008-09-05,147
1064,2008-09-08,100
1065,2008-09-09,181
1066,2008-09-10,80
1067,2008-09-11,171
1068,2008-09-12,176
1069,2008-09-15,124
1070,2008-09-16,270
1071,2008-09-17,1908
1072,2008-09-18,226
1073,2008-09-19,137
1074,2008-09-22,118
1075,2008-09-23,67
1076,2008-09-24,60
1077,2008-09-25,90
1078,2008-09-26,328
1079,2008-09-29,385
1080,2008-09-30,306
1081,2008-10-01,190
1082,2008-10-02,408
1083,2008-10-03,479
1084,2008-10-06,294
1085,2008-10-07,139
1086,2008-10-08,406
1087,2008-10-09,359
1088,2008-10-10,616
1089,2008-10-13,224
1090,2008-10-14,127
1091,2008-10-15,143
1092,2008-10-16,180
1093,2008-10-17,340
1094,2008-10-20,307
1095,2008-10-21,1104
1096,2008-10-22,224
1097,2008-10-23,290
1098,2008-10-24,322
1099,2008-10-27,239
1100,2008-10-28,374
1101,2008-10-29,340
1102,2008-10-30,418
1103,2008-10-31,626
1104,2008-11-03,328
1105,2008-11-04,172
1106,2008-11-05,216
1107,2008-11-06,122
1108,2008-11-07,141
1109,2008-11-10,120
1110,2008-11-11,65
1111,2008-11-12,162
1112,2008-11-13,147
1113,2008-11-14,197
1114,2008-11-17,141
1115,2008-11-18,472
1116,2008-11-19,327
1117,2008-11-20,277
1118,2008-11-21,407
1119,2008-11-24,323
1120,2008-11-25,185
1121,2008-11-26,200
1122,2008-11-27,131
1123,2008-11-28,157
1124,2008-12-01,120
1125,2008-12-02,219
1126,2008-12-03,230
1127,2008-12-04,116
1128,2008-12-05,101
1129,2008-12-08,149
1130,2008-12-09,217
1131,2008-12-10,187
1132,2008-12-11,152
1133,2008-12-12,221
1134,2008-12-15,91
1135,2008-12-16,238
1136,2008-12-17,182
1137,2008-12-18,1138
1138,2008-12-19,150
1139,2008-12-22,174
1140,2008-12-23,171
1141,2008-12-24,38
1142,2008-12-29,128
1143,2008-12-30,194
1144,2008-12-31,296
1145,2009-01-02,183
1146,2009-01-05,399
1147,2009-01-06,658
1148,2009-01-07,229
1149,2009-01-08,352
1150,2009-01-09,107
1151,2009-01-12,79
1152,2009-01-13,254
1153,2009-01-14,308
1154,2009-01-15,547
1155,2009-01-16,41
1156,2009-01-19,43
1157,2009-01-20,119
1158,2009-01-21,274
1159,2009-01-22,87
1160,2009-01-23,321
1161,2009-01-26,111
1162,2009-01-27,263
1163,2009-01-28,133
1164,2009-01-29,236
1165,2009-01-30,125
1166,2009-02-02,59
1167,2009-02-03,419
1168,2009-02-04,598
1169,2009-02-05,578
1170,2009-02-06,76
1171,2009-02-09,74
1172,2009-02-10,101
1173,2009-02-11,266
1174,2009-02-13,131
1175,2009-02-16,86
1176,2009-02-17,141
1177,2009-02-18,220
1178,2009-02-19,109
1179,2009-02-20,854
1180,2009-02-23,63
1181,2009-02-24,162
1182,2009-02-25,638
1183,2009-02-26,804
1184,2009-02-27,211
1185,2009-03-02,127
1186,2009-03-03,126
1187,2009-03-04,255
1188,2009-03-05,114
1189,2009-03-06,617
1190,2009-03-09,88
1191,2009-03-10,72
1192,2009-03-11,64
1193,2009-03-12,172
1194,2009-03-13,232
1195,2009-03-16,182
1196,2009-03-17,2812
1197,2009-03-18,263
1198,2009-03-19,1060
1199,2009-03-20,1363
1200,2009-03-23,121
1201,2009-03-24,115
1202,2009-03-25,123
1203,2009-03-26,111
1204,2009-03-27,156
1205,2009-03-30,96
1206,2009-03-31,285
1207,2009-04-01,127
1208,2009-04-02,216
1209,2009-04-03,199
1210,2009-04-06,91
1211,2009-04-07,249
1212,2009-04-08,149
1213,2009-04-09,164
1214,2009-04-14,134
1215,2009-04-15,910
1216,2009-04-16,175
1217,2009-04-17,445
1218,2009-04-20,304
1219,2009-04-21,227
1220,2009-04-22,223
1221,2009-04-23,369
1222,2009-04-24,272
1223,2009-04-27,267
1224,2009-04-28,282
1225,2009-04-29,191
1226,2009-04-30,1311
1227,2009-05-01,364
1228,2009-05-05,307
1229,2009-05-06,525
1230,2009-05-07,771
1231,2009-05-08,730
1232,2009-05-11,147
1233,2009-05-12,191
1234,2009-05-13,198
1235,2009-05-14,202
1236,2009-05-15,276
1237,2009-05-18,165
1238,2009-05-19,815
1239,2009-05-20,72
1240,2009-05-21,92
1241,2009-05-22,129
1242,2009-05-26,107
1243,2009-05-27,122
1244,2009-05-28,93
