,Index,LMPBDS03
277,2005-02-01,165
278,2005-02-02,248
279,2005-02-03,230
280,2005-02-04,74
281,2005-02-07,324
282,2005-02-08,235
283,2005-02-09,446
284,2005-02-10,282
285,2005-02-11,195
286,2005-02-14,151
287,2005-02-15,379
288,2005-02-16,703
289,2005-02-17,1107
290,2005-02-18,401
291,2005-02-22,653
292,2005-02-23,430
293,2005-02-24,335
294,2005-02-25,205
295,2005-02-28,466
296,2005-03-01,557
297,2005-03-02,57
298,2005-03-03,223
299,2005-03-04,327
300,2005-03-07,230
301,2005-03-08,320
302,2005-03-09,168
303,2005-03-10,318
304,2005-03-11,111
305,2005-03-14,130
306,2005-03-15,271
307,2005-03-16,158
308,2005-03-17,211
309,2005-03-18,92
310,2005-03-21,185
311,2005-03-22,437
312,2005-03-23,210
313,2005-03-28,207
314,2005-03-29,240
315,2005-03-30,438
316,2005-03-31,1005
317,2005-04-01,681
318,2005-04-04,296
319,2005-04-05,394
320,2005-04-06,362
321,2005-04-07,280
322,2005-04-08,100
323,2005-04-11,227
324,2005-04-12,648
325,2005-04-13,3684
326,2005-04-14,653
327,2005-04-15,449
328,2005-04-18,274
329,2005-04-19,204
330,2005-04-20,309
331,2005-04-21,48
332,2005-04-22,78
333,2005-04-25,85
334,2005-04-26,441
335,2005-04-27,1054
336,2005-04-28,1460
337,2005-05-02,1447
338,2005-05-03,1461
339,2005-05-04,523
340,2005-05-05,821
341,2005-05-06,364
342,2005-05-09,478
343,2005-05-10,1089
344,2005-05-11,1104
345,2005-05-12,1035
346,2005-05-13,864
347,2005-05-16,872
348,2005-05-17,289
349,2005-05-18,1284
350,2005-05-19,2078
351,2005-05-20,3506
352,2005-05-23,1187
353,2005-05-24,330
354,2005-05-25,481
355,2005-05-26,435
356,2005-05-27,939
357,2005-05-31,1128
358,2005-06-01,1384
359,2005-06-02,1094
360,2005-06-03,711
361,2005-06-06,289
362,2005-06-07,872
363,2005-06-08,959
364,2005-06-09,693
365,2005-06-10,224
366,2005-06-13,910
367,2005-06-14,427
368,2005-06-15,684
369,2005-06-16,947
370,2005-06-17,656
371,2005-06-20,1664
372,2005-06-21,2387
373,2005-06-22,2052
374,2005-06-23,667
375,2005-06-24,402
376,2005-06-27,845
377,2005-06-28,2048
378,2005-06-29,4184
379,2005-06-30,1250
380,2005-07-01,2302
381,2005-07-05,1592
382,2005-07-06,1253
383,2005-07-07,757
384,2005-07-08,1072
385,2005-07-11,1515
386,2005-07-12,2171
387,2005-07-13,2103
388,2005-07-14,1070
389,2005-07-15,584
390,2005-07-18,1419
391,2005-07-19,1130
392,2005-07-20,1457
393,2005-07-21,1074
394,2005-07-22,818
395,2005-07-25,584
396,2005-07-26,1613
397,2005-07-27,1673
398,2005-07-28,1384
399,2005-07-29,1492
400,2005-08-01,1409
401,2005-08-02,626
402,2005-08-03,467
403,2005-08-04,842
404,2005-08-05,1196
405,2005-08-08,1248
406,2005-08-09,725
407,2005-08-10,1171
408,2005-08-11,2199
409,2005-08-12,1014
410,2005-08-15,1448
411,2005-08-16,1881
412,2005-08-17,1657
413,2005-08-18,947
414,2005-08-19,459
415,2005-08-22,371
416,2005-08-23,358
417,2005-08-24,488
418,2005-08-25,381
419,2005-08-29,270
420,2005-08-30,867
421,2005-08-31,1525
422,2005-09-01,491
423,2005-09-02,1035
424,2005-09-06,784
425,2005-09-07,1635
426,2005-09-08,1886
427,2005-09-09,224
428,2005-09-12,734
429,2005-09-13,369
430,2005-09-14,2290
431,2005-09-15,1525
432,2005-09-16,2363
433,2005-09-19,1732
434,2005-09-20,1726
435,2005-09-21,1445
436,2005-09-22,2859
437,2005-09-23,2463
438,2005-09-26,3577
439,2005-09-27,1426
440,2005-09-28,1209
441,2005-09-29,785
442,2005-09-30,520
443,2005-10-03,247
444,2005-10-04,1456
445,2005-10-05,849
446,2005-10-06,804
447,2005-10-07,1117
448,2005-10-10,733
449,2005-10-11,1391
450,2005-10-12,872
451,2005-10-13,1081
452,2005-10-14,2695
453,2005-10-17,1831
454,2005-10-18,1636
455,2005-10-19,768
456,2005-10-20,3138
457,2005-10-21,514
458,2005-10-24,1035
459,2005-10-25,793
460,2005-10-26,496
461,2005-10-27,1391
462,2005-10-28,889
463,2005-10-31,2726
464,2005-11-01,505
465,2005-11-02,1097
466,2005-11-03,1676
467,2005-11-04,772
468,2005-11-07,729
469,2005-11-08,948
470,2005-11-09,990
471,2005-11-10,461
472,2005-11-11,2248
473,2005-11-14,569
474,2005-11-15,1136
475,2005-11-16,1881
476,2005-11-17,306
477,2005-11-18,507
478,2005-11-21,512
479,2005-11-22,721
480,2005-11-23,763
481,2005-11-25,1408
482,2005-11-28,839
483,2005-11-29,1902
484,2005-11-30,2365
485,2005-12-01,1490
486,2005-12-02,1045
487,2005-12-05,967
488,2005-12-06,2076
489,2005-12-07,980
490,2005-12-08,1441
491,2005-12-09,1340
492,2005-12-12,1279
493,2005-12-13,1868
494,2005-12-14,975
495,2005-12-15,887
496,2005-12-16,742
497,2005-12-19,769
498,2005-12-20,698
499,2005-12-21,1045
500,2005-12-22,835
501,2005-12-27,1461
502,2005-12-28,2883
503,2005-12-29,1072
504,2005-12-30,1068
505,2006-01-03,2472
506,2006-01-04,747
507,2006-01-05,728
508,2006-01-06,1668
509,2006-01-09,1233
510,2006-01-10,2086
511,2006-01-11,1142
512,2006-01-12,772
513,2006-01-13,1709
514,2006-01-17,1340
515,2006-01-18,1427
516,2006-01-19,1302
517,2006-01-20,1011
518,2006-01-23,1460
519,2006-01-24,1742
520,2006-01-25,1878
521,2006-01-26,4096
522,2006-01-27,1060
523,2006-01-30,1414
524,2006-01-31,1126
525,2006-02-01,1143
526,2006-02-02,976
527,2006-02-03,1134
528,2006-02-06,1835
529,2006-02-07,2270
530,2006-02-08,932
531,2006-02-09,1501
532,2006-02-10,1831
533,2006-02-13,903
534,2006-02-14,1455
535,2006-02-15,1946
536,2006-02-16,799
537,2006-02-17,1122
538,2006-02-21,497
539,2006-02-22,966
540,2006-02-23,626
541,2006-02-24,575
542,2006-02-27,1146
543,2006-02-28,1168
544,2006-03-01,1355
545,2006-03-02,572
546,2006-03-03,578
547,2006-03-06,1259
548,2006-03-07,1332
549,2006-03-08,1147
550,2006-03-09,470
551,2006-03-10,464
552,2006-03-13,264
553,2006-03-14,686
554,2006-03-15,2482
555,2006-03-16,1033
556,2006-03-17,460
557,2006-03-20,395
558,2006-03-21,656
559,2006-03-22,2154
560,2006-03-23,1534
561,2006-03-24,644
562,2006-03-27,859
563,2006-03-28,911
564,2006-03-29,1957
565,2006-03-30,787
566,2006-03-31,521
567,2006-04-03,1321
568,2006-04-04,1140
569,2006-04-05,890
570,2006-04-06,1917
571,2006-04-07,882
572,2006-04-10,841
573,2006-04-11,870
574,2006-04-12,464
575,2006-04-17,1071
576,2006-04-20,2043
577,2006-05-18,540
578,2006-05-25,294
579,2006-06-01,809
580,2006-06-08,648
581,2006-06-09,447
582,2006-06-12,1215
583,2006-06-13,910
584,2006-06-14,2261
585,2006-06-15,879
586,2006-06-16,1473
587,2006-06-19,670
588,2006-06-20,341
589,2006-06-21,832
590,2006-06-22,507
591,2006-06-23,319
592,2006-06-26,480
593,2006-06-27,636
594,2006-06-28,357
595,2006-06-29,451
596,2006-07-06,279
597,2006-07-13,472
598,2006-07-17,4939
599,2006-07-20,323
600,2006-07-24,12
601,2006-07-27,293
602,2006-07-31,160
603,2006-08-03,386
604,2006-08-10,623
605,2006-08-14,334
606,2006-08-17,154
607,2006-08-23,188
608,2006-08-24,362
609,2006-08-30,587
610,2006-09-19,6762
611,2006-09-25,340
612,2006-09-26,577
613,2006-10-05,567
614,2006-10-12,384
615,2006-10-16,4748
616,2006-10-19,274
617,2006-10-26,326
618,2006-11-02,426
619,2006-11-09,345
620,2006-11-16,387
621,2006-11-20,3497
622,2006-11-23,169
623,2006-11-28,255
624,2006-11-29,589
625,2006-11-30,788
626,2006-12-01,602
627,2006-12-04,288
628,2006-12-05,682
629,2006-12-06,388
630,2006-12-07,445
631,2006-12-08,399
632,2006-12-11,359
633,2006-12-12,582
634,2006-12-13,757
635,2006-12-14,610
636,2006-12-15,327
637,2006-12-18,372
638,2006-12-19,552
639,2006-12-20,437
640,2006-12-21,6102
641,2006-12-22,377
642,2006-12-27,151
643,2006-12-28,173
644,2006-12-29,326
645,2007-01-02,284
646,2007-01-03,771
647,2007-01-04,605
648,2007-01-05,687
649,2007-01-08,827
650,2007-01-09,1153
651,2007-01-10,1444
652,2007-01-11,448
653,2007-01-12,249
654,2007-01-15,258
655,2007-01-16,516
656,2007-01-17,712
657,2007-01-18,4621
658,2007-01-19,670
659,2007-01-22,529
660,2007-01-23,965
661,2007-01-24,581
662,2007-01-25,511
663,2007-01-26,480
664,2007-01-29,227
665,2007-01-30,442
666,2007-01-31,1051
667,2007-02-01,449
668,2007-02-02,529
669,2007-02-05,350
670,2007-02-06,780
671,2007-02-07,1231
672,2007-02-08,1428
673,2007-02-09,584
674,2007-02-12,571
675,2007-02-13,397
676,2007-02-14,627
677,2007-02-15,1016
678,2007-02-16,3157
679,2007-02-19,379
680,2007-02-20,820
681,2007-02-21,1243
682,2007-02-22,450
683,2007-02-23,838
684,2007-02-26,387
685,2007-02-27,330
686,2007-02-28,657
687,2007-03-01,551
688,2007-03-02,928
689,2007-03-05,481
690,2007-03-06,720
691,2007-03-07,505
692,2007-03-08,374
693,2007-03-09,506
694,2007-03-12,756
695,2007-03-13,679
696,2007-03-14,388
697,2007-03-15,365
698,2007-03-16,570
699,2007-03-19,662
700,2007-03-20,5685
701,2007-03-21,285
702,2007-03-22,407
703,2007-03-23,652
704,2007-03-26,406
705,2007-03-27,613
706,2007-03-28,493
707,2007-03-29,340
708,2007-03-30,552
709,2007-04-02,342
710,2007-04-03,1157
711,2007-04-04,780
712,2007-04-10,437
713,2007-04-11,758
714,2007-04-12,370
715,2007-04-13,211
716,2007-04-16,318
717,2007-04-17,556
718,2007-04-18,5618
719,2007-04-19,784
720,2007-04-20,383
721,2007-04-23,373
722,2007-04-24,351
723,2007-04-25,311
724,2007-04-26,346
725,2007-04-27,527
726,2007-04-30,322
727,2007-05-01,293
728,2007-05-02,596
729,2007-05-03,870
730,2007-05-04,986
731,2007-05-08,508
732,2007-05-09,492
733,2007-05-10,488
734,2007-05-11,663
735,2007-05-14,419
736,2007-05-15,4946
737,2007-05-16,505
738,2007-05-17,1117
739,2007-05-18,1166
740,2007-05-21,638
741,2007-05-22,752
742,2007-05-23,422
743,2007-05-24,559
744,2007-05-25,796
745,2007-05-29,237
746,2007-05-30,459
747,2007-05-31,662
748,2007-06-01,973
749,2007-06-04,305
750,2007-06-05,430
751,2007-06-06,456
752,2007-06-07,387
753,2007-06-08,987
754,2007-06-11,418
755,2007-06-12,394
756,2007-06-13,850
757,2007-06-14,663
758,2007-06-15,836
759,2007-06-18,467
760,2007-06-19,6304
761,2007-06-20,714
762,2007-06-21,829
763,2007-06-22,934
764,2007-06-25,534
765,2007-06-26,840
766,2007-06-27,1140
767,2007-06-28,497
768,2007-06-29,775
769,2007-07-02,945
770,2007-07-03,471
771,2007-07-04,521
772,2007-07-05,514
773,2007-07-06,671
774,2007-07-09,602
775,2007-07-10,563
776,2007-07-11,436
777,2007-07-12,439
778,2007-07-13,611
779,2007-07-16,402
780,2007-07-17,4161
781,2007-07-18,492
782,2007-07-19,670
783,2007-07-20,1265
784,2007-07-23,666
785,2007-07-24,662
786,2007-07-25,685
787,2007-07-26,779
788,2007-07-27,1345
789,2007-07-30,1075
790,2007-07-31,827
791,2007-08-01,630
792,2007-08-02,1020
793,2007-08-03,1080
794,2007-08-06,1066
795,2007-08-07,618
796,2007-08-08,560
797,2007-08-09,1329
798,2007-08-10,1978
799,2007-08-13,952
800,2007-08-14,844
801,2007-08-15,593
802,2007-08-16,856
803,2007-08-17,1275
804,2007-08-20,514
805,2007-08-21,3307
806,2007-08-22,433
807,2007-08-23,874
808,2007-08-24,1174
809,2007-08-28,512
810,2007-08-29,498
811,2007-08-30,571
812,2007-08-31,723
813,2007-09-03,508
814,2007-09-04,1062
815,2007-09-05,685
816,2007-09-06,637
817,2007-09-07,620
818,2007-09-10,362
819,2007-09-11,495
820,2007-09-12,318
821,2007-09-13,429
822,2007-09-14,694
823,2007-09-17,680
824,2007-09-18,299
825,2007-09-19,5349
826,2007-09-20,603
827,2007-09-21,762
828,2007-09-24,414
829,2007-09-25,854
830,2007-09-26,1165
831,2007-09-27,1953
832,2007-09-28,580
833,2007-10-01,380
834,2007-10-02,863
835,2007-10-03,752
836,2007-10-04,439
837,2007-10-05,1068
838,2007-10-08,613
839,2007-10-09,1135
840,2007-10-10,833
841,2007-10-12,1103
842,2007-10-15,497
843,2007-10-16,4909
844,2007-10-17,914
845,2007-10-18,857
846,2007-10-19,1164
847,2007-10-22,640
848,2007-10-23,527
849,2007-10-24,836
850,2007-10-25,583
851,2007-10-29,556
852,2007-10-30,881
853,2007-10-31,830
854,2007-11-01,613
855,2007-11-02,1680
856,2007-11-05,840
857,2007-11-06,562
858,2007-11-07,1113
859,2007-11-08,1075
860,2007-11-09,1257
861,2007-11-12,703
862,2007-11-13,783
863,2007-11-14,503
864,2007-11-15,384
865,2007-11-16,1473
866,2007-11-19,1292
867,2007-11-20,2875
868,2007-11-21,944
869,2007-11-22,570
870,2007-11-23,681
871,2007-11-26,755
872,2007-11-27,491
873,2007-11-28,529
874,2007-11-29,629
875,2007-11-30,1102
876,2007-12-03,619
877,2007-12-04,994
878,2007-12-05,1156
879,2007-12-06,1394
880,2007-12-07,567
881,2007-12-10,552
882,2007-12-11,796
883,2007-12-12,745
884,2007-12-13,847
885,2007-12-14,486
886,2007-12-17,664
887,2007-12-18,643
888,2007-12-19,4595
889,2007-12-20,649
890,2007-12-27,247
891,2007-12-28,541
892,2007-12-31,129
893,2008-01-02,561
894,2008-01-03,508
895,2008-01-04,581
896,2008-01-07,641
897,2008-01-08,847
898,2008-01-09,634
899,2008-01-10,741
900,2008-01-11,541
901,2008-01-14,672
902,2008-01-15,509
903,2008-01-16,3810
904,2008-01-17,866
905,2008-01-18,456
906,2008-01-21,490
907,2008-01-22,887
908,2008-01-23,407
909,2008-01-24,623
910,2008-01-25,865
911,2008-01-28,574
912,2008-01-29,650
913,2008-01-30,739
914,2008-01-31,1449
915,2008-02-01,751
916,2008-02-04,514
917,2008-02-05,1088
918,2008-02-06,1177
919,2008-02-07,408
920,2008-02-08,1051
921,2008-02-11,1033
922,2008-02-12,1489
923,2008-02-13,865
924,2008-02-14,441
925,2008-02-15,548
926,2008-02-18,362
927,2008-02-19,928
928,2008-02-20,1211
929,2008-02-21,4400
930,2008-02-22,509
931,2008-02-25,502
932,2008-02-26,863
933,2008-02-27,1209
934,2008-02-28,1225
935,2008-02-29,507
936,2008-03-03,612
937,2008-03-04,738
938,2008-03-05,1582
939,2008-03-06,698
940,2008-03-07,1205
941,2008-03-10,977
942,2008-03-11,863
943,2008-03-12,970
944,2008-03-13,474
945,2008-03-14,812
946,2008-03-17,1175
947,2008-03-18,4310
948,2008-03-19,1234
949,2008-03-25,795
950,2008-03-26,615
951,2008-03-27,686
952,2008-03-28,933
953,2008-03-31,703
954,2008-04-01,1202
955,2008-04-02,563
956,2008-04-03,638
957,2008-04-04,588
958,2008-04-07,679
959,2008-04-08,540
960,2008-04-09,435
961,2008-04-10,314
962,2008-04-11,964
963,2008-04-14,588
964,2008-04-15,702
965,2008-04-16,2213
966,2008-04-17,863
967,2008-04-18,906
968,2008-04-21,666
969,2008-04-22,596
970,2008-04-23,535
971,2008-04-24,744
972,2008-04-25,757
973,2008-04-28,403
974,2008-04-29,475
975,2008-04-30,697
976,2008-05-01,1069
977,2008-05-02,1625
978,2008-05-06,921
979,2008-05-07,1216
980,2008-05-08,1137
981,2008-05-09,1691
982,2008-05-12,880
983,2008-05-13,712
984,2008-05-14,1004
985,2008-05-15,779
986,2008-05-16,1377
987,2008-05-19,558
988,2008-05-20,3426
989,2008-05-21,1027
990,2008-05-22,1098
991,2008-05-23,1699
992,2008-05-27,867
993,2008-05-28,903
994,2008-05-29,1109
995,2008-05-30,1544
996,2008-06-02,1018
997,2008-06-03,1525
998,2008-06-04,1074
999,2008-06-05,747
1000,2008-06-06,967
1001,2008-06-09,419
1002,2008-06-10,589
1003,2008-06-11,985
1004,2008-06-12,924
1005,2008-06-13,1524
1006,2008-06-16,539
1007,2008-06-17,5308
1008,2008-06-18,1135
1009,2008-06-19,894
1010,2008-06-20,1193
1011,2008-06-23,364
1012,2008-06-24,422
1013,2008-06-25,965
1014,2008-06-26,608
1015,2008-06-27,850
1016,2008-06-30,905
1017,2008-07-01,1036
1018,2008-07-02,1286
1019,2008-07-03,1037
1020,2008-07-04,1596
1021,2008-07-07,683
1022,2008-07-08,1106
1023,2008-07-09,1647
1024,2008-07-10,2348
1025,2008-07-11,3846
1026,2008-07-14,961
1027,2008-07-15,6096
1028,2008-07-16,1773
1029,2008-07-17,976
1030,2008-07-18,1111
1031,2008-07-21,735
1032,2008-07-22,1193
1033,2008-07-23,1315
1034,2008-07-24,1981
1035,2008-07-25,2480
1036,2008-07-28,1080
1037,2008-07-29,1438
1038,2008-07-30,1674
1039,2008-07-31,1437
1040,2008-08-01,2372
1041,2008-08-04,1900
1042,2008-08-05,922
1043,2008-08-06,686
1044,2008-08-07,694
1045,2008-08-08,1893
1046,2008-08-11,924
1047,2008-08-12,2208
1048,2008-08-13,3179
1049,2008-08-14,1463
1050,2008-08-15,2319
1051,2008-08-18,1038
1052,2008-08-19,3208
1053,2008-08-20,1002
1054,2008-08-21,1160
1055,2008-08-22,1400
1056,2008-08-26,864
1057,2008-08-27,1479
1058,2008-08-28,2446
1059,2008-08-29,2306
1060,2008-09-01,344
1061,2008-09-02,677
1062,2008-09-03,530
1063,2008-09-04,640
1064,2008-09-05,755
1065,2008-09-08,897
1066,2008-09-09,916
1067,2008-09-10,950
1068,2008-09-11,392
1069,2008-09-12,704
1070,2008-09-15,1004
1071,2008-09-16,1459
1072,2008-09-17,7736
1073,2008-09-18,897
1074,2008-09-19,781
1075,2008-09-22,988
1076,2008-09-23,1523
1077,2008-09-24,1129
1078,2008-09-25,1697
1079,2008-09-26,805
1080,2008-09-29,1611
1081,2008-09-30,954
1082,2008-10-01,968
1083,2008-10-02,1816
1084,2008-10-03,2085
1085,2008-10-06,828
1086,2008-10-07,1240
1087,2008-10-08,709
1088,2008-10-09,894
1089,2008-10-10,2001
1090,2008-10-13,792
1091,2008-10-14,808
1092,2008-10-15,716
1093,2008-10-16,992
1094,2008-10-17,1217
1095,2008-10-20,424
1096,2008-10-21,3775
1097,2008-10-22,836
1098,2008-10-23,1187
1099,2008-10-24,1209
1100,2008-10-27,712
1101,2008-10-28,1563
1102,2008-10-29,1527
1103,2008-10-30,962
1104,2008-10-31,1385
1105,2008-11-03,553
1106,2008-11-04,620
1107,2008-11-05,728
1108,2008-11-06,1121
1109,2008-11-07,1421
1110,2008-11-10,374
1111,2008-11-11,488
1112,2008-11-12,526
1113,2008-11-13,482
1114,2008-11-14,955
1115,2008-11-17,571
1116,2008-11-18,3055
1117,2008-11-19,612
1118,2008-11-20,386
1119,2008-11-21,863
1120,2008-11-24,482
1121,2008-11-25,355
1122,2008-11-26,488
1123,2008-11-27,691
1124,2008-11-28,1008
1125,2008-12-01,686
1126,2008-12-02,959
1127,2008-12-03,1503
1128,2008-12-04,440
1129,2008-12-05,863
1130,2008-12-08,663
1131,2008-12-09,1068
1132,2008-12-10,372
1133,2008-12-11,814
1134,2008-12-12,785
1135,2008-12-15,391
1136,2008-12-16,994
1137,2008-12-17,422
1138,2008-12-18,4330
1139,2008-12-19,1089
1140,2008-12-22,505
1141,2008-12-23,927
1142,2008-12-24,272
1143,2008-12-29,504
1144,2008-12-30,849
1145,2008-12-31,701
1146,2009-01-02,527
1147,2009-01-05,803
1148,2009-01-06,1119
1149,2009-01-07,537
1150,2009-01-08,960
1151,2009-01-09,470
1152,2009-01-12,705
1153,2009-01-13,1320
1154,2009-01-14,1485
1155,2009-01-15,2515
1156,2009-01-16,404
1157,2009-01-19,290
1158,2009-01-20,574
1159,2009-01-21,1056
1160,2009-01-22,621
1161,2009-01-23,711
1162,2009-01-26,543
1163,2009-01-27,747
1164,2009-01-28,691
1165,2009-01-29,708
1166,2009-01-30,828
1167,2009-02-02,308
1168,2009-02-03,849
1169,2009-02-04,1299
1170,2009-02-05,1453
1171,2009-02-06,391
1172,2009-02-09,369
1173,2009-02-10,519
1174,2009-02-11,845
1175,2009-02-13,192
1176,2009-02-16,503
1177,2009-02-17,1004
1178,2009-02-18,1561
1179,2009-02-19,344
1180,2009-02-20,3002
1181,2009-02-23,1047
1182,2009-02-24,781
1183,2009-02-25,1261
1184,2009-02-26,1589
1185,2009-02-27,851
1186,2009-03-02,380
1187,2009-03-03,837
1188,2009-03-04,1021
1189,2009-03-05,1285
1190,2009-03-06,1633
1191,2009-03-09,1131
1192,2009-03-10,856
1193,2009-03-11,886
1194,2009-03-12,829
1195,2009-03-13,1048
1196,2009-03-16,648
1197,2009-03-17,6918
1198,2009-03-18,810
1199,2009-03-19,892
1200,2009-03-20,1392
1201,2009-03-23,444
1202,2009-03-24,822
1203,2009-03-25,608
1204,2009-03-26,461
1205,2009-03-27,547
1206,2009-03-30,321
1207,2009-03-31,721
1208,2009-04-01,732
1209,2009-04-02,926
1210,2009-04-03,835
1211,2009-04-06,1273
1212,2009-04-07,519
1213,2009-04-08,459
1214,2009-04-09,954
1215,2009-04-14,1077
1216,2009-04-15,3651
1217,2009-04-16,1121
1218,2009-04-17,682
1219,2009-04-20,483
1220,2009-04-21,590
